Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2022-07-27,8.6,8.6,29.6,24,2.4,2.4,29.7,23.7,3.1,3.1,29.7,23.7,No
2022-07-28,2.4,2.4,29.7,23.7,4.3,4.3,32.2,23.9,8.6,8.6,29.6,24,No
2022-07-29,4.3,4.3,32.2,23.9,2.9,2.9,30,23.6,2.4,2.4,29.7,23.7,No
2022-07-30,2.9,2.9,30,23.6,22.8,22.8,30.6,23.5,4.3,4.3,32.2,23.9,No
2022-07-31,22.8,22.8,30.6,23.5,59.6,59.6,26.2,23.3,2.9,2.9,30,23.6,No
2022-08-01,59.6,59.6,26.2,23.3,42.9,42.9,26.2,23.6,22.8,22.8,30.6,23.5,No
2022-08-02,42.9,42.9,26.2,23.6,54.4,54.4,25.9,23.7,59.6,59.6,26.2,23.3,Yes
2022-08-03,54.4,54.4,25.9,23.7,61.3,61.3,24.9,23.2,42.9,42.9,26.2,23.6,No
2022-08-04,61.3,61.3,24.9,23.2,33.2,33.2,25.7,23.3,54.4,54.4,25.9,23.7,No
2022-08-05,33.2,33.2,25.7,23.3,22.2,22.2,26.6,23.3,61.3,61.3,24.9,23.2,No
2022-08-06,22.2,22.2,26.6,23.3,39.6,39.6,26.9,23,33.2,33.2,25.7,23.3,No
2022-08-07,39.6,39.6,26.9,23,18.9,18.9,27.4,23.3,22.2,22.2,26.6,23.3,No
2022-08-08,18.9,18.9,27.4,23.3,6.5,6.5,28.4,23.5,39.6,39.6,26.9,23,No
2022-08-09,6.5,6.5,28.4,23.5,5.8,5.8,28.4,23.3,18.9,18.9,27.4,23.3,No
2022-08-10,5.8,5.8,28.4,23.3,4.7,4.7,29.5,22.4,6.5,6.5,28.4,23.5,Yes
2022-08-11,4.7,4.7,29.5,22.4,3.6,3.6,29.9,23.6,5.8,5.8,28.4,23.3,No
2022-08-12,3.6,3.6,29.9,23.6,0.7,0.7,29.4,23.4,4.7,4.7,29.5,22.4,No
2022-08-13,0.7,0.7,29.4,23.4,0.3,0.3,29.9,23,3.6,3.6,29.9,23.6,No
2022-08-14,0.3,0.3,29.9,23,0.1,0.1,30.1,23.1,0.7,0.7,29.4,23.4,No
2022-08-15,0.1,0.1,30.1,23.1,0,0,30.7,23.3,0.3,0.3,29.9,23,No
2022-08-16,0,0,30.7,23.3,0.5,0.5,29.9,23.6,0.1,0.1,30.1,23.1,No
2022-08-17,0.5,0.5,29.9,23.6,1.7,1.7,30,24.6,0,0,30.7,23.3,No
2022-08-18,1.7,1.7,30,24.6,3.5,3.5,29.8,24.5,0.5,0.5,29.9,23.6,No
2022-08-19,3.5,3.5,29.8,24.5,0,0,30.1,24.5,1.7,1.7,30,24.6,No
2022-08-20,0,0,30.1,24.5,8,8,28.9,24,3.5,3.5,29.8,24.5,No
2022-08-21,8,8,28.9,24,22.1,22.1,27.1,23.2,0,0,30.1,24.5,No
2022-08-22,22.1,22.1,27.1,23.2,18.4,18.4,26.3,22.7,8,8,28.9,24,No
2022-08-23,18.4,18.4,26.3,22.7,32.1,32.1,24.6,23.1,22.1,22.1,27.1,23.2,No
2022-08-24,32.1,32.1,24.6,23.1,9,9,28.2,23,18.4,18.4,26.3,22.7,No
2022-08-25,9,9,28.2,23,11.5,11.5,27.6,23.6,32.1,32.1,24.6,23.1,No
2022-08-26,11.5,11.5,27.6,23.6,27,27,26,23.2,9,9,28.2,23,No
2022-08-27,27,27,26,23.2,15.2,15.2,28.5,23.2,11.5,11.5,27.6,23.6,No
2022-08-28,15.2,15.2,28.5,23.2,37.8,37.8,29,23.3,27,27,26,23.2,No
2022-08-29,37.8,37.8,29,23.3,12.8,12.8,30,23.3,15.2,15.2,28.5,23.2,No
2022-08-30,12.8,12.8,30,23.3,18.5,18.5,30.6,23,37.8,37.8,29,23.3,Yes
2022-08-31,18.5,18.5,30.6,23,20.2,20.2,29.3,23.6,12.8,12.8,30,23.3,No
2022-09-01,20.2,20.2,29.3,23.6,1.3,1.3,29.6,22.9,18.5,18.5,30.6,23,No
2022-09-02,1.3,1.3,29.6,22.9,1.7,1.7,28.9,23.3,20.2,20.2,29.3,23.6,No
2022-09-03,1.7,1.7,28.9,23.3,4.2,4.2,28.6,23.5,1.3,1.3,29.6,22.9,No
2022-09-04,4.2,4.2,28.6,23.5,22.9,22.9,30.1,23.7,1.7,1.7,28.9,23.3,No
2022-09-05,22.9,22.9,30.1,23.7,25.6,25.6,28.3,23.1,4.2,4.2,28.6,23.5,No
2022-09-06,25.6,25.6,28.3,23.1,21.9,21.9,26.8,23.2,22.9,22.9,30.1,23.7,No
2022-09-07,21.9,21.9,26.8,23.2,11.1,11.1,27.8,23.2,25.6,25.6,28.3,23.1,No
2022-09-08,11.1,11.1,27.8,23.2,16,16,26.7,23.4,21.9,21.9,26.8,23.2,No
2022-09-09,16,16,26.7,23.4,12.3,12.3,25.5,23.8,11.1,11.1,27.8,23.2,No
2022-09-10,12.3,12.3,25.5,23.8,10.8,10.8,27.9,23.6,16,16,26.7,23.4,No
2022-09-11,10.8,10.8,27.9,23.6,11.9,11.9,27,23.3,12.3,12.3,25.5,23.8,No
2022-09-12,11.9,11.9,27,23.3,3.3,3.3,28.5,23,10.8,10.8,27.9,23.6,No
2022-09-13,3.3,3.3,28.5,23,3.4,3.4,29.3,22.7,11.9,11.9,27,23.3,No
2022-09-14,3.4,3.4,29.3,22.7,1.8,1.8,28.8,23.4,3.3,3.3,28.5,23,No
2022-09-15,1.8,1.8,28.8,23.4,1.1,1.1,29,22.4,3.4,3.4,29.3,22.7,No
2022-09-16,1.1,1.1,29,22.4,1.5,1.5,28.9,23.7,1.8,1.8,28.8,23.4,No
2022-09-17,1.5,1.5,28.9,23.7,1.7,1.7,29.3,23.6,1.1,1.1,29,22.4,No
2022-09-18,1.7,1.7,29.3,23.6,2.3,2.3,28.7,23.2,1.5,1.5,28.9,23.7,No
2022-09-19,2.3,2.3,28.7,23.2,0.8,0.8,29.2,23.5,1.7,1.7,29.3,23.6,No
2022-09-20,0.8,0.8,29.2,23.5,3,3,29.2,23,2.3,2.3,28.7,23.2,No
